aw,arabinose
0.998794134,0.001209129
0.996301559,0.003716992
0.993880026,0.006150017
0.991204620,0.008842036
0.988493867,0.011570554
0.984037017,0.016050553
0.979351927,0.020763138
0.971116997,0.029026017
0.943483672,0.055656872
