aw,xylose
0.997590722,0.002435058
0.995074926,0.004990285
0.992536651,0.007575040
0.989812052,0.010342289
0.987049980,0.013143275
0.984168672,0.016057530
0.979714471,0.020554072
0.971279136,0.029061683
0.959718347,0.040416263
0.948385020,0.051245721
